"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones","Nombre normalizado","Posible cadena/franquicia","Grupo cadena/franquicia","Posible duplicado entre comunas","Grupo duplicado","Tipo negocio","Score comercial","Nivel comercial"
"Aligot restaurant","4.5","25","Isidora Goyenechea 2890, 7550033 Las Condes, Región Metropolitana","(41) 324 8475","https://toto.menu/aligot?s=googlemaps","Restaurante","https://www.google.com/maps/place/Aligot+restaurant/@-33.413808,-70.6019947,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfac435bdaad:0x7ed19e2ff27dfbdf!8m2!3d-33.413808!4d-70.6019947!16s%2Fg%2F11h3swvrz_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.413808","-70.6019947","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","aligot","No","","No","","Restaurante","74","Medio potencial"
"Route 66","4.5","19","Isidora Goyenechea 2960, 7550059 Las Condes, Región Metropolitana","(2) 3266 9954","http://www.route66.cl/","Restaurante","https://www.google.com/maps/place/Route+66/data=!4m7!3m6!1s0x9662cf405ad73ffb:0xee029d663f1a73e7!8m2!3d-33.4139825!4d-70.5999351!16s%2Fg%2F11dymmkn9y!19sChIJ-z_XWkDPYpYR53MaP2adAu4?authuser=0&hl=es-419&rclk=1","-33.4139825","-70.5999351","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","route 66","No","","No","","Restaurante","73","Medio potencial"
"Estró Santiago","4.6","528","El Alcalde 15, 7550655 Las Condes, Región Metropolitana","(2) 2470 8585","http://www.instagram.com/estrosantiago","Restaurante","https://www.google.com/maps/place/Estr%C3%B3+Santiago/@-33.4158983,-70.5952355,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf157bee637f:0x73257e215251e871!8m2!3d-33.4158983!4d-70.5952355!16s%2Fg%2F11c542nyfq?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4158983","-70.5952355","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","estro santiago","No","","No","","Restaurante","86","Alto potencial"
"La Flaca, Cocinería Chilena","4.5","19","Av. Apoquindo 2730, Las Condes, Región Metropolitana","(2) 2437 6668","https://laflaca.cl/","Restaurante","https://www.google.com/maps/place/La+Flaca,+Cociner%C3%ADa+Chilena/data=!4m7!3m6!1s0x9662c53939e3eebb:0xdc2e7676299d3b56!8m2!3d-33.4177122!4d-70.6013629!16s%2Fg%2F11c3tj92p4!19sChIJu-7jOTnFYpYRVjudKXZ2Ltw?authuser=0&hl=es-419&rclk=1","-33.4177122","-70.6013629","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","la flaca cocineria chilena","No","","No","","Restaurante","73","Medio potencial"
"Casa Sanz","4.7","215","Av Vitacura 4873, 7630000 Vitacura, Región Metropolitana","9 9165 1370","https://hotelbidasoa.cl/","Restaurante","https://www.google.com/maps/place/Casa+Sanz/data=!4m7!3m6!1s0x9662cfaa42f67979:0x78939ae5f730c248!8m2!3d-33.3982681!4d-70.5851944!16s%2Fg%2F11sjxnlkxg!19sChIJeXn2QqrPYpYRSMIw9-Wak3g?authuser=0&hl=es-419&rclk=1","-33.3982681","-70.5851944","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","casa sanz","No","","No","","Restaurante","83","Alto potencial"
"El Toro Vitacura","4.6","29","Alonso de Córdova 3788, piso -1, 7630000 Vitacura, Región Metropolitana","9 3201 9661","http://www.eltoro.cl/","Restaurante","https://www.google.com/maps/place/El+Toro+Vitacura/@-33.4018737,-70.5929112,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf89a33b0f49:0x1b187e22a345a7e0!8m2!3d-33.4018737!4d-70.5929112!16s%2Fg%2F11sw_ws1rr?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4018737","-70.5929112","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","el toro","No","","No","","Restaurante","75","Medio potencial"
"Ofelia Gastrobar","4.7","95","Av Vitacura 3201, 7630578 Vitacura, Región Metropolitana","(2) 2944 7800","https://www.ofeliagastrobar.com/","Restaurante","https://www.google.com/maps/place/Ofelia+Gastrobar/@-33.4074623,-70.5985484,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf94400bd1d1:0xab1af5b17f27cd4e!8m2!3d-33.4074623!4d-70.5985484!16s%2Fg%2F11ryt4r0yc?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4074623","-70.5985484","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","ofelia gastrobar","No","","No","","Bar/Pub","80","Alto potencial"
"Demencia","4.1","54","Av Vitacura 3520, 7630523 Vitacura, Región Metropolitana","9 3861 1684","https://www.instagram.com/demenciastgo/","Restaurante","https://www.google.com/maps/place/Demencia/data=!4m7!3m6!1s0x9662cfb61d16452b:0x6108ad9a3153fe62!8m2!3d-33.4039236!4d-70.5964995!16s%2Fg%2F11rcscbqmr!19sChIJK0UWHbbPYpYRYv5TMZqtCGE?authuser=0&hl=es-419&rclk=1","-33.4039236","-70.5964995","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","demencia","No","","No","","Restaurante","74","Medio potencial"
"Bar Santiago Vitacura","4.6","864","Av Vitacura 7120, 7640560 Vitacura, Región Metropolitana","9 7996 4119","https://barsantiago.cl/","Bar restaurante","https://www.google.com/maps/place/Bar+Santiago+Vitacura/data=!4m7!3m6!1s0x9662c9465439ed5d:0x1ee5cf0006f07af3!8m2!3d-33.3867402!4d-70.5649557!16s%2Fg%2F11tjf5xr59!19sChIJXe05VEbJYpYR83rwBgDP5R4?authuser=0&hl=es-419&rclk=1","-33.3867402","-70.5649557","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","bar santiago","No","","No","","Bar/Pub","88","Alto potencial"
"APPA Restaurante","4.8","174","Av Vitacura 7501, 7650296 Vitacura, Región Metropolitana","9 7430 8508","https://toteat.app/r/cl/APPA---VITACURA/9255","Restaurante","https://www.google.com/maps/place/APPA+Restaurante/data=!4m7!3m6!1s0x9662c9004da0f611:0x507e760a4ead2bf0!8m2!3d-33.386285!4d-70.5618881!16s%2Fg%2F11w1k7qgxk!19sChIJEfagTQDJYpYR8CutTgp2flA?authuser=0&hl=es-419&rclk=1","-33.386285","-70.5618881","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","appa","No","","No","","Restaurante","83","Alto potencial"
