"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Las Vegas Chile Sandwichería","4.2","727","Av. José Pedro Alessandri 2014, 7800280 Ñuñoa, Región Metropolitana","(2) 2567 6417","http://www.lasvegaschile.com/","Restaurante","https://www.google.com/maps/place/Las+Vegas+Chile+Sandwicher%C3%ADa/data=!4m7!3m6!1s0x9662cfe77aad036b:0xfbe8119d10f79eed!8m2!3d-33.4731665!4d-70.598517!16s%2Fg%2F11bwfk5w7v!19sChIJawOteufPYpYR7Z73EJ0R6Ps?authuser=0&hl=es-419&rclk=1","-33.4731665","-70.598517","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","","Revisar: parece sandwich"
"Tapas y Birra Ñuñoa - Restaurante Mediterráneo & Bar","4.3","29","Alcaldesa Balbina Vera 3561, 7790884 Ñuñoa, Región Metropolitana","(2) 2904 1230","http://www.tapasybirra.cl/","Restaurante mediterráneo","https://www.google.com/maps/place/Tapas+y+Birra+%C3%91u%C3%B1oa+-+Restaurante+Mediterr%C3%A1neo+%26+Bar/data=!4m7!3m6!1s0x9662cfbe944f9dc3:0xad1467f8fc07cf6a!8m2!3d-33.4538497!4d-70.5935726!16s%2Fg%2F11c0vn_jvx!19sChIJw51PlL7PYpYRas8H_PhnFK0?authuser=0&hl=es-419&rclk=1","-33.4538497","-70.5935726","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Kigo Vegan","4.9","168","José Manuel Infante 2452, 7750000 Ñuñoa, Región Metropolitana","(2) 2608 0919","https://www.kigovegan.cl/","Restaurante vegano","https://www.google.com/maps/place/Kigo+Vegan/data=!4m7!3m6!1s0x9662cf3ce939b133:0x7e6fa0b834e3889a!8m2!3d-33.4533509!4d-70.6175634!16s%2Fg%2F11sgl8n27x!19sChIJM7E56TzPYpYRmojjNLigb34?authuser=0&hl=es-419&rclk=1","-33.4533509","-70.6175634","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante El Puro Perú - Ñuñoa","3.9","642","Av. José Pedro Alessandri 1809, 7780266 Ñuñoa, Región Metropolitana","(2) 2401 9290","https://www.elpuroperu.cl/","Restaurante peruano","https://www.google.com/maps/place/Restaurante+El+Puro+Per%C3%BA+-+%C3%91u%C3%B1oa/data=!4m7!3m6!1s0x9662cfe79328fab7:0x57668c28e06b33c9!8m2!3d-33.4712431!4d-70.5988422!16s%2Fg%2F11fy_r_9ll!19sChIJt_ook-fPYpYRyTNr4CiMZlc?authuser=0&hl=es-419&rclk=1","-33.4712431","-70.5988422","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Plaza Ñuñoa","4.5","03","Manuel de Salas 71, 7750000 Ñuñoa, Región Metropolitana","(2) 2204 5224","","Parque","https://www.google.com/maps/place/Plaza+%C3%91u%C3%B1oa/data=!4m7!3m6!1s0x9662cfbf04ab4a7b:0x5a99e4565277755f!8m2!3d-33.4560843!4d-70.5937153!16s%2Fm%2F0n_650x!19sChIJe0qrBL_PYpYRX3V3UlbkmVo?authuser=0&hl=es-419&rclk=1","-33.4560843","-70.5937153","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","No","","","","","","","","","","","","","","","",""
"Abbatia Casona Restaurant","4.2","405","Av. Campos de Deportes 329, 7750126 Ñuñoa, Región Metropolitana","9 3893 2224","https://abbatiarestaurant.ola.click/","Restaurante","https://www.google.com/maps/place/Abbatia+Casona+Restaurant/data=!4m7!3m6!1s0x9662cf05615f4f63:0x9766ecdf65522666!8m2!3d-33.4564871!4d-70.6095265!16s%2Fg%2F11rjjvb7j5!19sChIJY09fYQXPYpYRZiZSZd_sZpc?authuser=0&hl=es-419&rclk=1","-33.4564871","-70.6095265","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Clasico el Dante","3.6","796","Av. Irarrázaval 3482, 7790827 Ñuñoa, Región Metropolitana","9 6469 8510","","Bar restaurante","https://www.google.com/maps/place/Clasico+el+Dante/data=!4m7!3m6!1s0x9662cfbefa2e9bc5:0x1e1d7ddf3baebe0a!8m2!3d-33.455137!4d-70.5945072!16s%2Fg%2F11bztvjjb9!19sChIJxZsu-r7PYpYRCr6uO999HR4?authuser=0&hl=es-419&rclk=1","-33.455137","-70.5945072","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurante Donde Camilo","4.4","982","Zañartu 2530, 7780293 Ñuñoa, Región Metropolitana","9 8555 0970","","Restaurante peruano","https://www.google.com/maps/place/Restaurante+Donde+Camilo/data=!4m7!3m6!1s0x9662cfe59b11b6ed:0x1dc2ab007fd761ee!8m2!3d-33.4719429!4d-70.6061339!16s%2Fg%2F1tm89n3z!19sChIJ7bYRm-XPYpYR7mHXfwCrwh0?authuser=0&hl=es-419&rclk=1","-33.4719429","-70.6061339","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Mr. Sabroso Restaurant","4.5","677","Condell 1701, 7770331 Santiago, Ñuñoa, Región Metropolitana","","http://mrsabroso.cl/","Bar restaurante","https://www.google.com/maps/place/Mr.+Sabroso+Restaurant/data=!4m7!3m6!1s0x9662c5fcff776ced:0xbe068199878f51ef!8m2!3d-33.4502879!4d-70.6251398!16s%2Fg%2F11t8g9tb3q!19sChIJ7Wx3__zFYpYR71GPh5mBBr4?authuser=0&hl=es-419&rclk=1","-33.4502879","-70.6251398","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"El Manzano","4.0","89","Av. Irarrázaval 3285, Ñuñoa, Región Metropolitana","(2) 2225 5145","","Restaurante","https://www.google.com/maps/place/El+Manzano/data=!4m7!3m6!1s0x9662cfbe391474a5:0xe54d2597533bdca7!8m2!3d-33.4553092!4d-70.5967223!16s%2Fg%2F1tvw63qr!19sChIJpXQUOb7PYpYRp9w7U5clTeU?authuser=0&hl=es-419&rclk=1","-33.4553092","-70.5967223","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
