"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Casa Pierrot","4.6","149","Cocharcas 786, 3800990 Chillán, Ñuble","","","Restaurante italiano","https://www.google.com/maps/place/Casa+Pierrot/data=!4m7!3m6!1s0x96692900415732a3:0x3d2904724e7faefc!8m2!3d-36.6131455!4d-72.1019494!16s%2Fg%2F11vr187ltd!19sChIJozJXQQApaZYR_K5_TnIEKT0?authuser=0&hl=es-419&rclk=1","-36.6131455","-72.1019494","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Mesón de Ñeko Collín","4.2","767","Av. Collín 1005, 3790068 Chillán, Ñuble","(42) 232 3646","https://www.facebook.com/mesondeneko/","Restaurante","https://www.google.com/maps/place/Mes%C3%B3n+de+%C3%91eko+Coll%C3%ADn/data=!4m7!3m6!1s0x9669282dcc494ddd:0x14098979cdd5984c!8m2!3d-36.6163254!4d-72.0993197!16s%2Fg%2F11c2nbrxm1!19sChIJ3U1JzC0oaZYRTJjVzXmJCRQ?authuser=0&hl=es-419&rclk=1","-36.6163254","-72.0993197","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante El Faraón Comida Árabe","5.0","25","Av. Argentina 1156, Chillán, Ñuble","9 7376 8741","","Restaurante","https://www.google.com/maps/place/Restaurante+El+Fara%C3%B3n+Comida+%C3%81rabe/data=!4m7!3m6!1s0x96692900287adec7:0xb9d717b7f3d051ac!8m2!3d-36.6165257!4d-72.0962917!16s%2Fg%2F11y3yrq3jk!19sChIJx956KAApaZYRrFHQ87cX17k?authuser=0&hl=es-419&rclk=1","-36.6165257","-72.0962917","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Kuranepe Restaurante","4.3","430","Longitudinal norte 420, 3800043 Chillán, Ñuble","(42) 227 1419","https://www.facebook.com/Kuraneperestauranteoficial/","Restaurante","https://www.google.com/maps/place/Kuranepe+Restaurante/data=!4m7!3m6!1s0x9668d7cf4a03463b:0xa8f50977d8bae1a5!8m2!3d-36.5936079!4d-72.10458!16s%2Fg%2F11fx7vrwgg!19sChIJO0YDSs_XaJYRpeG62HcJ9ag?authuser=0&hl=es-419&rclk=1","-36.5936079","-72.10458","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Tartara’s Food","4.8","12","Av. Collín 817, 3780000 Chillán, Ñuble","9 2254 0717","","Restaurante familiar","https://www.google.com/maps/place/Tartara%E2%80%99s+Food/data=!4m7!3m6!1s0x966929d1f8fa9f1f:0x486f85247a3365e2!8m2!3d-36.6155259!4d-72.1020643!16s%2Fg%2F11kblvngwx!19sChIJH5_6-NEpaZYR4mUzeiSFb0g?authuser=0&hl=es-419&rclk=1","-36.6155259","-72.1020643","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurante Entre Chillán Y Chillán Viejo","4.2","81","Tegualda 11-129, 3790287 Chillán, Ñuble","9 9447 9148","","Restaurante","https://www.google.com/maps/place/Restaurante+Entre+Chill%C3%A1n+Y+Chill%C3%A1n+Viejo/data=!4m7!3m6!1s0x96692819cb16975f:0xc48ff1ace347cf0a!8m2!3d-36.620945!4d-72.1209983!16s%2Fg%2F11c0qgzsyw!19sChIJX5cWyxkoaZYRCs9H46zxj8Q?authuser=0&hl=es-419&rclk=1","-36.620945","-72.1209983","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Andén Bistro Tapas","4.6","89","Camino Colonia Bernardo O'Higgins 1572, 3820572 Chillán, Ñuble","9 4274 3882","https://instagram.com/anden_bistrotapas?igshid=MzRlODBiNWFlZA==","Restaurante","https://www.google.com/maps/place/And%C3%A9n+Bistro+Tapas/data=!4m7!3m6!1s0x9668d7139fd96775:0x314731108e164203!8m2!3d-36.5867085!4d-72.0760796!16s%2Fg%2F11stp3xpmx!19sChIJdWfZnxPXaJYRA0IWjhAxRzE?authuser=0&hl=es-419&rclk=1","-36.5867085","-72.0760796","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Cassis Mall Arauco Chillán","4.7","172","El Roble 770, Local 14, piso 1, 3800846 Chillán, Ñuble","9 3400 7643","https://cassiscafe.com/","Restaurante","https://www.google.com/maps/place/Cassis+Mall+Arauco+Chill%C3%A1n/data=!4m7!3m6!1s0x9669291a45c5f073:0x7c6e5e884dd1b012!8m2!3d-36.60968!4d-72.1009!16s%2Fg%2F11wr2vrt08!19sChIJc_DFRRopaZYRErDRTYhebnw?authuser=0&hl=es-419&rclk=1","-36.60968","-72.1009","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Ficus Restaurante","4.4","97","Rosas 392, 3800538 Chillán, Ñuble","(42) 221 2176","http://www.ficuschillan.com/","Pizza para llevar","https://www.google.com/maps/place/Ficus+Restaurante/data=!4m7!3m6!1s0x9668d7dbb6df605f:0xc82caea297245715!8m2!3d-36.603014!4d-72.109585!16s%2Fg%2F1v75t3d9!19sChIJX2DfttvXaJYRFVckl6KuLMg?authuser=0&hl=es-419&rclk=1","-36.603014","-72.109585","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Troya Restaurant","4.3","78","Camino a cato - km 1.8, 3820572 Chillán, Ñuble","","","Restaurante","https://www.google.com/maps/place/Troya+Restaurant/data=!4m7!3m6!1s0x9668d7dbc86275c3:0x8bbbd2399dc2d8a5!8m2!3d-36.5735557!4d-72.0518263!16s%2Fg%2F11tjqmm4lv!19sChIJw3ViyNvXaJYRpdjCnTnSu4s?authuser=0&hl=es-419&rclk=1","-36.5735557","-72.0518263","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
